table_temp,rack_h,rack_m,rack_l,time1,temp1,humi1,lq1,time2,temp2,humi2,lq2,time3,temp3,humi3,lq3,time4,temp4,humi4,lq4
29.625,30.5,29.625,29.187,1 : 2019/11/10 07:57:16,30.45,44.17,102,2 : 2019/11/10 07:54:58,30.33,43.82,105,3 : 2019/11/10 07:53:13,28.65,50.71,126,4 : 2019/11/10 04:29:32,12.5,86.43,6
29.625,30.437,29.625,29.187,1 : 2019/11/10 08:17:17,30.45,44.05,105,2 : 2019/11/10 08:14:59,30.33,43.7,105,3 : 2019/11/10 08:13:12,28.67,50.61,126,,,,
29.625,30.437,29.562,29.187,1 : 2019/11/10 08:27:17,30.46,44.01,105,2 : 2019/11/10 08:24:59,30.32,43.64,105,3 : 2019/11/10 08:23:12,28.67,50.53,126,4 : 2019/11/10 08:24:03,11.79,87.78,39
29.625,30.437,29.625,29.187,1 : 2019/11/10 08:47:18,30.64,43.55,105,2 : 2019/11/10 08:45:00,30.52,43.17,102,3 : 2019/11/10 08:48:11,29.3,50.07,126,4 : 2019/11/10 08:44:00,12.14,87.51,24
29.687,30.437,29.562,29.125,1 : 2019/11/10 08:57:18,30.78,43.45,105,2 : 2019/11/10 08:55:01,30.65,43.04,102,3 : 2019/11/10 08:58:11,29.55,49.8,126,4 : 2019/11/10 08:54:00,13.09,88.06,27
29.687,30.5,29.625,29.187,1 : 2019/11/10 09:17:19,31.02,43.25,105,2 : 2019/11/10 09:15:02,30.9,42.81,102,3 : 2019/11/10 09:18:10,29.9,49.32,126,4 : 2019/11/10 09:18:58,15.3,90.17,36
29.625,30.5,29.625,29.187,1 : 2019/11/10 09:27:19,31.11,43.08,105,2 : 2019/11/10 09:25:03,31.02,42.62,102,3 : 2019/11/10 09:28:09,30.03,49.11,126,4 : 2019/11/10 09:28:58,15.9,90.44,36
29.687,30.5,29.625,29.187,1 : 2019/11/10 09:47:20,31.35,42.87,105,2 : 2019/11/10 09:45:04,31.23,42.41,102,3 : 2019/11/10 09:48:08,30.27,48.78,126,4 : 2019/11/10 09:48:58,17.42,90.74,36
29.812,30.625,29.625,29.312,1 : 2019/11/10 09:57:20,31.34,40.89,111,2 : 2019/11/10 09:55:05,31.29,41.1,114,3 : 2019/11/10 09:58:08,30.31,48.48,126,4 : 2019/11/10 09:58:58,17.77,89.37,54
30,30.687,29.937,29.437,1 : 2019/11/10 10:17:21,31.04,50.88,75,2 : 2019/11/10 10:20:06,30.99,51.19,108,3 : 2019/11/10 10:18:07,30.2,51.75,126,4 : 2019/11/10 10:18:58,17.6,86.19,48
30.062,30.812,30,29.5,1 : 2019/11/10 10:27:21,31.12,53,99,2 : 2019/11/10 10:30:07,31.02,46.44,102,3 : 2019/11/10 10:28:07,30.3,52.88,123,4 : 2019/11/10 10:28:58,17.65,85.78,27
30.125,30.875,30.062,29.5,1 : 2019/11/10 10:47:21,30.61,45.74,93,2 : 2019/11/10 10:50:08,30.62,46.4,108,3 : 2019/11/10 10:48:06,29.79,51.38,126,4 : 2019/11/10 10:48:59,17.96,84.92,48
30.187,30.937,30.187,29.625,1 : 2019/11/10 10:57:22,31,48.13,108,2 : 2019/11/10 11:00:09,31.05,48.13,111,3 : 2019/11/10 10:58:06,30.04,52.03,126,4 : 2019/11/10 10:58:59,17.91,83.61,30
30.312,31,30.25,29.687,1 : 2019/11/10 11:17:22,31.65,47.98,105,2 : 2019/11/10 11:20:10,31.67,47.34,108,3 : 2019/11/10 11:18:05,30.74,52.03,132,4 : 2019/11/10 11:18:59,17.82,81.36,51
30.375,31.062,30.312,29.75,1 : 2019/11/10 11:22:22,31.79,47.8,105,2 : 2019/11/10 11:25:11,31.81,47.15,105,3 : 2019/11/10 11:23:05,30.89,51.91,126,4 : 2019/11/10 11:23:59,17.9,81.05,51
30.375,31.062,30.375,29.812,1 : 2019/11/10 11:42:23,32.27,47.13,105,2 : 2019/11/10 11:45:12,32.27,46.55,105,3 : 2019/11/10 11:43:04,31.4,51.47,126,4 : 2019/11/10 11:44:00,18.18,79.73,51
30.437,31.125,30.437,29.875,1 : 2019/11/10 11:52:23,32.49,46.88,105,2 : 2019/11/10 11:55:13,32.48,46.26,108,3 : 2019/11/10 11:53:04,31.63,51.27,126,4 : 2019/11/10 11:54:00,18.26,79.16,48
30.5,31.187,30.437,29.937,1 : 2019/11/10 12:17:23,32.97,46.4,105,2 : 2019/11/10 12:15:14,32.86,45.91,105,3 : 2019/11/10 12:13:04,32.02,50.88,126,4 : 2019/11/10 12:14:01,18.36,77.58,48
30.562,31.25,30.5,29.937,1 : 2019/11/10 12:27:24,33.17,46.27,105,2 : 2019/11/10 12:25:15,33.05,45.73,108,3 : 2019/11/10 12:23:03,32.23,50.74,126,4 : 2019/11/10 12:24:01,18.46,76.78,51
30.625,31.312,30.562,30,1 : 2019/11/10 12:47:24,33.5,45.93,105,2 : 2019/11/10 12:45:16,33.4,45.45,108,3 : 2019/11/10 12:48:02,32.71,50.32,132,4 : 2019/11/10 12:44:02,18.63,75.09,48
30.687,31.437,30.687,30.187,1 : 2019/11/10 12:57:24,33.68,45.85,105,2 : 2019/11/10 12:55:17,33.57,45.17,108,3 : 2019/11/10 12:58:02,32.9,50.15,126,4 : 2019/11/10 12:54:03,18.66,74.29,51
30.75,31.437,30.687,30.187,1 : 2019/11/10 13:17:24,33.6,44.73,123,2 : 2019/11/10 13:15:18,33.62,43.41,63,3 : 2019/11/10 13:18:02,32.95,49.5,126,4 : 2019/11/10 13:14:03,18.77,73.47,63
30.75,31.437,30.75,30.25,1 : 2019/11/10 13:27:25,33.43,45.08,120,2 : 2019/11/10 13:25:19,36.38,42.84,63,3 : 2019/11/10 13:28:02,33.09,49.21,126,4 : 2019/11/10 13:24:04,18.82,73.1,54
30.562,31.437,30.625,30.187,1 : 2019/11/10 13:47:25,33.87,44.98,120,2 : 2019/11/10 13:45:21,37.65,40.5,72,3 : 2019/11/10 13:48:02,33.43,48.9,126,4 : 2019/11/10 13:49:05,19.06,72.68,51
30.437,31.375,30.562,30.25,1 : 2019/11/10 13:57:25,34.08,44.88,120,2 : 2019/11/10 13:55:22,37.96,39.88,69,3 : 2019/11/10 13:58:02,33.58,48.76,132,4 : 2019/11/10 13:59:05,19.08,72.23,57
